type_id,identifier,description
271,Extra EA-400,
272,Atlas C4M,
273,Barkley-Grow T8P-1,
274,Lockheed Modell 12,
275,Eclipse 400,
276,Zlin Z-526,
277,Cessna 421,
278,Cessna 425,
279,Focke-Wulf Fw 47,
280,Cessna 401,
281,Canadair North Star,
282,Doppelraab,
283,Fieseler F 5,
284,Armstrong Whitworth A.W.27,
285,Gulfstream III,
286,Vickers Vulcan,
287,Canadair CL-44,
288,Embraer EMB 121,
289,Embraer EMB 111,
290,VEF Irbitis I-12,
291,Hawker 4000,
292,Wedell-Williams 44,
293,Extra 260,
294,Bristol Type 62,
295,Bristol Tourer,
296,Hughes H-1,
297,Piper Apache,
298,Supermarine S.4,
299,Stinson Reliant,
300,Fokker F.VIII,
301,Boeing 777,
302,Cessna CitationJet,
303,North American T-39,
304,Learjet 85,
305,Potez 62,
306,Potez 840,
307,Cessna 206,
308,Sud-Est SE.2010,
309,CASA C-207,
310,CASA C-202,
311,SNCAC NC.211,
312,CASA C-201,
313,Fokker F.XXXVI,
314,Airbus A300,
315,Martin 2-0-2,
316,Boeing 737,
317,Savoia-Marchetti SM.95,
318,Vultee V-1,
319,Bloch MB.120,
320,Curtiss T-32,
321,Bloch MB.300,
322,Dufaux 4,
323,Dufaux 5,
324,Mitsubishi Regional Jet,
325,Fieseler F 4,
326,Fokker F.IX,
327,Fokker F.XI,
328,Cessna 180,
329,Lancair IV,
330,Kalinin K-2,
331,Kalinin K-3,
332,Heinkel HE 12,
333,Comac C919,
334,Zieldarstellungsdrohne,
335,Air Tractor AT-802,
336,CSA SportCruiser,
337,DFS Weihe,
338,British Aircraft Swallow,
339,Aero Boero AB-115,
340,Aero Boero AB-180,
341,British Aircraft Double Eagle,
342,Epic Victory,
