airport_id,name,city,country,latitude,longitude,geolocation
61,ACU,ACU,BRAZIL,-5.595278,-36.961111,AAAAAAEBAAAA+BxYjpBhFsC2aWyvBXtCwA==
62,ADA MUN,ADA,UNITED STATES,34.804444,-96.671389,AAAAAAEBAAAAUbtfBfhmQUA6eZEJ+CpYwA==
64,ADABA,ADABA,ETHIOPIA,7.05,39.4,AAAAAAEBAAAAMzMzMzMzHEAzMzMzM7NDQA==
65,ADAK,ADAK I,UNITED STATES,51.878056,-176.646111,AAAAAAEBAAAAPgeWI2TwSUC/0vnwrBRmwA==
67,ADAMS,LITTLE ROCK,UNITED STATES,34.729444,-92.224444,AAAAAAEBAAAAuCHGa15dQUAk8l1KXQ5XwA==
68,ADANA,ADANA,TURKEY,36.9825,35.283056,AAAAAAEBAAAA9ihcj8J9QkDid9MtO6RBQA==
69,ADDINGTON,ELIZABETHTOWN,UNITED STATES,37.686944,-85.923889,AAAAAAEBAAAAehfvx+3XQkCWCFT/IHtVwA==
71,ADDISON,DALLAS,UNITED STATES,32.968611,-96.836389,AAAAAAEBAAAA38X7cft7QED8brplhzVYwA==
73,ADELAIDE INTL,ADELAIDE,AUSTRALIA,-34.945,138.530556,AAAAAAEBAAAAKVyPwvV4QcBKlpNQ+lBhQA==
74,ADEN INTL,ADEN,YEMEN,12.828889,45.029722,AAAAAAEBAAAAPgeWI2SoKUBh/DTuzYNGQA==
75,ADI SUMARMO WIRYOKUSUMO,SOLO,INDONESIA,-7.517778,110.755,AAAAAAEBAAAAaFpiZTQSHsC4HoXrUbBbQA==
77,ADIRONDACK REGL,SARANAC LAKE,UNITED STATES,44.385278,-74.206111,AAAAAAEBAAAAJO8cylAxRkAjFjHsMI1SwA==
78,ADISUTJIPTO,YOGYAKARTA,INDONESIA,-7.786667,110.431944,AAAAAAEBAAAApl63CIwlH8AFbXL4pJtbQA==
79,ADIYAMAN,ADIYAMAN,TURKEY,37.730833,38.468889,AAAAAAEBAAAANeuM74vdQkAhOgSOBDxDQA==
80,ADNAN MENDERES,IZMIR,TURKEY,38.289167,27.155,AAAAAAEBAAAAjQqcbAMlQ0BI4XoUric7QA==
82,ADUSTINA,ADUSTINA,BRAZIL,-10.584722,-38.087222,AAAAAAEBAAAA4ICWrmArJcDwvioXKgtDwA==
83,AERITALIA,TORINO,ITALY,45.085833,7.603889,AAAAAAEBAAAAc/Vjk/yKRkAVqMXgYWoeQA==
86,AERO,AERO,DENMARK,54.8525,10.456389,AAAAAAEBAAAAhetRuB5tS0AfgqrRq+kkQA==
87,AEROCLUB ARGENTINO,SAN JUSTO,ARGENTINA,-34.733333,-58.6,AAAAAAEBAAAA7gkS291dQcDNzMzMzExNwA==
93,AEROCLUB,NOVA IGUACU,BRAZIL,-22.746667,-43.464722,AAAAAAEBAAAAnwCKkSW/NsCp3a8CfLtFwA==
94,AEROCLUB,ARACAJU,BRAZIL,-10.903333,-37.083056,AAAAAAEBAAAAjsu4qYHOJcBI3jmUoYpCwA==
95,AEROCLUB,JOAO PESSOA,BRAZIL,-7.091944,-34.8425,AAAAAAEBAAAA8kBkkSZeHMCkcD0K12tBwA==
96,AEROCLUB,PASSO FUNDO,BRAZIL,-28.250556,-52.516667,AAAAAAEBAAAAC9EhcCRAPMAS9u0kIkJKwA==
97,AERODROMO NACIONAL AVIACAO,GOIANIA,BRAZIL,-16.628056,-49.345556,AAAAAAEBAAAAfA4sR8igMMDid9MtO6xIwA==
99,AEROPELICAN,AEROPELICAN,AUSTRALIA,-33.067222,151.642778,AAAAAAEBAAAALskBu5qIQMDTEiujkfRiQA==
100,AFONSO PENA,CURITIBA,BRAZIL,-25.531667,-49.176111,AAAAAAEBAAAAyFwZVBuIOcChuyTOipZIwA==
101,AFTON MUN,AFTON,UNITED STATES,42.711111,-110.942222,AAAAAAEBAAAAtmlsrwVbRUCX5IBdTbxbwA==
102,AFYON AB,AFYON,TURKEY,38.733889,30.595278,AAAAAAEBAAAAc/IiE/BdQ0A+B5YjZJg+QA==
103,AGARTALA,AGARTALA,INDIA,23.89,91.242222,AAAAAAEBAAAApHA9CtfjN0DKF7SQgM9WQA==
104,AGATTI,AGATTI,INDIA,10.857222,72.191111,AAAAAAEBAAAAzNJOzeW2JUD6uaEpOwxSQA==
106,AGEDABIA,AGEDABIA,LIBYA,30.716667,20.2,AAAAAAEBAAAAWB8PfXe3PkAzMzMzMzM0QA==
107,AGHAJARI,AGHAJARI,IRAN,30.75,49.683333,AAAAAAEBAAAAAAAAAADAPkCHo6t0d9dIQA==
108,AGNES LAKE,AGNES LAKE,CANADA,55.816667,-112.516667,AAAAAAEBAAAAeVxUi4joS0AJ+3YSESFcwA==
109,AGRA AB,AGRA,INDIA,27.158333,77.961667,AAAAAAEBAAAAqODwgogoO0Aeqb7zi31TQA==
110,AGRI,AGRI,TURKEY,39.662778,43.023333,AAAAAAEBAAAAEEHV6NXUQ0Bz9WOT/IJFQA==
111,AGRINION AB,AGRINION,GREECE,38.602778,21.35,AAAAAAEBAAAAyF9a1CdNQ0CamZmZmVk1QA==
117,AGUALEGUAS,AGUALEGUAS,MEXICO,26.335556,-99.544444,AAAAAAEBAAAAAfp9/+ZVOkA4oKUr2OJYwA==
118,AGUAS CLARAS,OCANA,COLOMBIA,8.316667,-73.316667,AAAAAAEBAAAA43FRLSKiIEA8LqpFRFRSwA==
119,AGUENAR,TAMANRASSET,ALGERIA,22.811111,5.450833,AAAAAAEBAAAABW1y+KTPNkCN1Hsqp80VQA==
120,AGUNI,AGUNI,JAPAN,26.592778,127.240278,AAAAAAEBAAAAzcmLTMCXOkCx/Pm2YM9fQA==
121,AHE,AHE I,TUAMOTU IS,-14.427778,-146.255,AAAAAAEBAAAAhuXPtwXbLMBcj8L1KEhiwA==
122,AHMEDABAD,AHMEDABAD,INDIA,23.071111,72.626389,AAAAAAEBAAAAx2KbVDQSN0C/ZOPBFihSQA==
123,AHMOSUO,AHMOSUO,FINLAND,64.895278,25.752222,AAAAAAEBAAAAA7UYPEw5UEDrVPmekcA5QA==
124,AHRENLOHE,AHRENLOHE,GERMANY,53.7,9.740556,AAAAAAEBAAAAmpmZmZnZSkCRtvEnKnsjQA==
125,AHWAZ,AHWAZ,IRAN,31.3375,48.760278,AAAAAAEBAAAAZmZmZmZWP0Ak7xzKUGFIQA==
126,AIKEN MUN,AIKEN,UNITED STATES,33.649444,-81.684444,AAAAAAEBAAAArkoi+yDTQEBh/DTuzWtUwA==
127,AILERTCHEN,AILERTCHEN,GERMANY,50.593056,7.945,AAAAAAEBAAAAKVlOQulLSUBI4XoUrscfQA==
