airport_id,name,city,country,latitude,longitude,geolocation
3907,FLORENCE REGL,FLORENCE,UNITED STATES,34.185278,-79.723889,AAAAAAEBAAAAilWDMLcXQUDJO4cyVO5TwA==
3908,FLORENCEVILLE,FLORENCEVILLE,CANADA,46.426111,-67.628056,AAAAAAEBAAAAobskzoo2R0CfA8sRMuhQwA==
3909,FLORENNES AB,FLORENNES,BELGIUM,50.243333,4.645556,AAAAAAEBAAAAz4QmiSUfSUBB8s6hDJUSQA==
3910,FLORES,FLORES,AZORES,39.458056,-31.132222,AAAAAAEBAAAASN45lKG6Q0DMzw1N2SE/wA==
3911,FLORIDA KEYS MARATHON,MARATHON,UNITED STATES,24.726111,-81.051389,AAAAAAEBAAAAD0QWaeK5OEDylxb1SUNUwA==
3913,FLORO,FLORO,NORWAY,61.583611,5.024722,AAAAAAEBAAAA/Urnw7PKTkCD91W5UBkUQA==
3915,FLOUDES,LA REOLE,FRANCE,44.568056,-0.056111,AAAAAAEBAAAA9iUbD7ZIRkA9R+S7lLqsvw==
3917,FLUSHING,NEW YORK/ FLUSHING,UNITED STATES,40.779167,-73.832778,AAAAAAEBAAAArI+HvrtjREADtRg8THVSwA==
3923,FLYING CLOUD,MINNEAPOLIS,UNITED STATES,44.827222,-93.457222,AAAAAAEBAAAAD0QWaeJpRkDAQBAgQ11XwA==
3936,FOGO,FOGO,CANADA,49.6575,-54.2375,AAAAAAEBAAAAXI/C9SjUSEBmZmZmZh5LwA==
3937,FOHREN,TRIER,GERMANY,49.863611,6.788056,AAAAAAEBAAAAobskzoruSECTqu0m+CYbQA==
3939,FOLIGNO,FOLIGNO,ITALY,42.932222,12.710278,AAAAAAEBAAAATU7tDFN3RUD3ItqOqWspQA==
3943,FOND DU LAC CO,FOND DU LAC,UNITED STATES,43.771111,-88.488333,AAAAAAEBAAAA/Urnw7PiRUCvIw7ZQB9WwA==
3944,FOND-DU-LAC,FOND-DU-LAC,CANADA,59.333611,-107.182222,AAAAAAEBAAAA/Urnw7OqTUAmp3aGqctawA==
3945,FONTANAROSSA,CATANIA,ITALY,37.466111,15.063611,AAAAAAEBAAAAJqd2hqm7QkDrVPmekSAuQA==
3946,FONTANGES,FONTANGES,CANADA,54.553889,-71.173333,AAAAAAEBAAAAnE6y1eVGS0BTlEvjF8tRwA==
3947,FONTAS,FONTAS,CANADA,57.8,-119.45,AAAAAAEBAAAAZmZmZmbmTEDNzMzMzNxdwA==
3948,FONTE BOA,FONTE BOA,BRAZIL,-2.533611,-66.067222,AAAAAAEBAAAAb0kO2NVEBMCX5IBdTYRQwA==
3949,FONTENAY-LE COMTE,FONTENAY-LE COMTE,FRANCE,46.441389,-0.792778,AAAAAAEBAAAANuhLb384R0AOoN/3b17pvw==
3950,FONTENAY-TRESIGNY,FONTENAY-TRESIGNY,FRANCE,48.707222,2.904444,AAAAAAEBAAAAgIEgQIZaSEDkgcgiTTwHQA==
3951,FORBES,TOPEKA,UNITED STATES,38.950833,-95.663611,AAAAAAEBAAAAknpP5bR5Q0AEkUWaeOpXwA==
3952,FORBES,FORBES,AUSTRALIA,-33.363611,147.935,AAAAAAEBAAAAobskzoquQMBSuB6F631iQA==
3953,FORCHHEIM,KARLSRUHE,GERMANY,48.979722,8.331111,AAAAAAEBAAAA+5XOh2d9SEAUsYhhh6kgQA==
3954,FORD BAY,FORD BAY,CANADA,66.0375,-124.715,AAAAAAEBAAAAZmZmZmaCUED2KFyPwi1fwA==
3956,FORD,IRON MT-KINGSFORD,UNITED STATES,45.818333,-88.114444,AAAAAAEBAAAAaR7AIr/oRkBNTu0MUwdWwA==
3957,FOREMOST,FOREMOST,CANADA,49.483056,-111.494444,AAAAAAEBAAAAexFtx9S9SEAFbXL4pN9bwA==
